"Type","Op","Size","Time"
mpi_np,iterate,2097152,0.179185102
mpi_np,reshape,2097152,11.919645216
mpi_np,creation,4194304,0.460695609
mpi_np,add,4194304,0.019027488
mpi_np,sub,4194304,0.019422370
mpi_np,mul,4194304,0.018839719
mpi_np,div,4194304,0.025199341
mpi_np,max,4194304,0.005680049
mpi_np,mean,4194304,0.007560149
mpi_np,sum,4194304,0.007439849
mpi_np,std,4194304,0.053160061
mpi_np,slice,4194304,0.025086126
mpi_np,iterate,4194304,0.346386035
mpi_np,reshape,4194304,23.861564614
mpi_np,creation,8388608,0.953547717
mpi_np,add,8388608,0.036842547
mpi_np,sub,8388608,0.037125408
mpi_np,mul,8388608,0.036900385
mpi_np,div,8388608,0.049044831
mpi_np,max,8388608,0.010728528
mpi_np,mean,8388608,0.014765514
mpi_np,sum,8388608,0.014767046
mpi_np,std,8388608,0.103787933
mpi_np,slice,8388608,0.043897456
mpi_np,iterate,8388608,0.710127367
mpi_np,reshape,8388608,47.858389399
mpi_np,creation,16777216,1.924151798
mpi_np,add,16777216,0.072941000
mpi_np,sub,16777216,0.073807464
mpi_np,mul,16777216,0.073045844
mpi_np,div,16777216,0.097597977
mpi_np,max,16777216,0.021001597
mpi_np,mean,16777216,0.029204238
mpi_np,sum,16777216,0.029096159
mpi_np,std,16777216,0.205662238
mpi_np,slice,16777216,0.086129243
mpi_np,iterate,16777216,1.366005931
mpi_np,reshape,16777216,94.368870911
mpi_np,creation,33554432,3.801073393
mpi_np,add,33554432,0.175733609
mpi_np,sub,33554432,0.186664905
mpi_np,mul,33554432,0.176588406
mpi_np,div,33554432,0.200969145
mpi_np,max,33554432,0.041368702
mpi_np,mean,33554432,0.058083177
mpi_np,sum,33554432,0.057940239
mpi_np,std,33554432,0.447674242
mpi_np,slice,33554432,0.170014350
mpi_np,iterate,33554432,2.738533075
mpi_np,creation,67108864,7.641763706
mpi_np,add,67108864,0.290510098
mpi_np,sub,67108864,0.292888308
