"Type","Op","Size","Time"
np,setting,8192,0.000000181
np,getting,8192,0.000000183
np,empty,16384,0.000007082
np,arange,16384,0.000085770
np,setting,16384,0.000000172
np,getting,16384,0.000000177
np,empty,32768,0.000006201
np,arange,32768,0.000166594
np,setting,32768,0.000000179
np,getting,32768,0.000000185
np,empty,65536,0.000006348
np,arange,65536,0.000327846
np,setting,65536,0.000000172
np,getting,65536,0.000000179
np,empty,131072,0.000007104
np,arange,131072,0.000649266
np,setting,131072,0.000000177
np,getting,131072,0.000000187
np,empty,262144,0.000011376
np,arange,262144,0.001296253
np,setting,262144,0.000000185
np,getting,262144,0.000000183
np,empty,524288,0.000011790
np,arange,524288,0.002545027
np,setting,524288,0.000000171
np,getting,524288,0.000000177
np,empty,1048576,0.000012474
np,arange,1048576,0.005136303
np,setting,1048576,0.000000181
np,getting,1048576,0.000000187
np,empty,2097152,0.000012825
np,arange,2097152,0.010214303
np,setting,2097152,0.000000174
np,getting,2097152,0.000000180
np,empty,4194304,0.000024054
np,arange,4194304,0.027827800
np,setting,4194304,0.000000178
np,getting,4194304,0.000000186
np,empty,8388608,0.000022670
np,arange,8388608,0.054973390
np,setting,8388608,0.000000183
np,getting,8388608,0.000000183
np,empty,16777216,0.000022921
np,arange,16777216,0.110214224
np,setting,16777216,0.000000178
np,getting,16777216,0.000000188
np,empty,33554432,0.000022383
np,arange,33554432,0.221168259
np,setting,33554432,0.000000176
np,getting,33554432,0.000000177
np,empty,67108864,0.000024875
np,arange,67108864,0.441427178
np,setting,67108864,0.000000184
np,getting,67108864,0.000000182
np,empty,134217728,0.000031134
np,arange,134217728,0.960221887
np,setting,134217728,0.000000178
np,getting,134217728,0.000000184
mpi_np,empty,1,0.000071841
mpi_np,arange,1,0.000125229
mpi_np,local_slicing,1,0.000000938
mpi_np,local_setting,1,0.000000608
mpi_np,global_setting,1,0.000008982
mpi_np,local_getting,1,0.000000569
mpi_np,global_getting,1,0.000176206
mpi_np,empty,2,0.000070939
mpi_np,arange,2,0.000124746
mpi_np,local_slicing,2,0.000000959
mpi_np,local_setting,2,0.000000607
mpi_np,global_setting,2,0.000009076
mpi_np,local_getting,2,0.000000576
mpi_np,global_getting,2,0.000176778
mpi_np,empty,4,0.000070816
mpi_np,arange,4,0.000125061
mpi_np,local_slicing,4,0.000000946
mpi_np,local_setting,4,0.000000591
mpi_np,global_setting,4,0.000009126
mpi_np,local_getting,4,0.000000553
mpi_np,global_getting,4,0.000177888
mpi_np,empty,8,0.000071086
mpi_np,arange,8,0.000125350
mpi_np,local_slicing,8,0.000000970
mpi_np,local_setting,8,0.000000609
mpi_np,global_setting,8,0.000009020
mpi_np,local_getting,8,0.000000567
mpi_np,global_getting,8,0.000177148
mpi_np,empty,16,0.000071292
mpi_np,arange,16,0.000125512
mpi_np,local_slicing,16,0.000000975
mpi_np,local_setting,16,0.000000588
mpi_np,global_setting,16,0.000009055
mpi_np,local_getting,16,0.000000564
mpi_np,global_getting,16,0.000177179
mpi_np,empty,32,0.000071203
mpi_np,arange,32,0.000125493
mpi_np,local_slicing,32,0.000000976
mpi_np,local_setting,32,0.000000638
mpi_np,global_setting,32,0.000009116
mpi_np,local_getting,32,0.000000600
mpi_np,global_getting,32,0.000177217
mpi_np,empty,64,0.000076211
mpi_np,arange,64,0.000143714
mpi_np,local_slicing,64,0.000000962
mpi_np,local_setting,64,0.000000604
mpi_np,global_setting,64,0.000009152
mpi_np,local_getting,64,0.000000577
mpi_np,global_getting,64,0.000184518
mpi_np,empty,128,0.000076006
mpi_np,arange,128,0.000142579
mpi_np,local_slicing,128,0.000000962
mpi_np,local_setting,128,0.000000613
mpi_np,global_setting,128,0.000009102
mpi_np,local_getting,128,0.000000581
mpi_np,global_getting,128,0.000183218
mpi_np,empty,256,0.000075181
mpi_np,arange,256,0.000143723
mpi_np,local_slicing,256,0.000001006
mpi_np,local_setting,256,0.000000603
mpi_np,global_setting,256,0.000009060
mpi_np,local_getting,256,0.000000564
mpi_np,global_getting,256,0.000182714
mpi_np,empty,512,0.000075810
mpi_np,arange,512,0.000143174
mpi_np,local_slicing,512,0.000000998
mpi_np,local_setting,512,0.000000623
mpi_np,global_setting,512,0.000008996
mpi_np,local_getting,512,0.000000576
mpi_np,global_getting,512,0.000182147
mpi_np,empty,1024,0.000077693
mpi_np,arange,1024,0.000146909
mpi_np,local_slicing,1024,0.000000972
mpi_np,local_setting,1024,0.000000596
mpi_np,global_setting,1024,0.000009104
mpi_np,local_getting,1024,0.000000566
mpi_np,global_getting,1024,0.000182271
mpi_np,empty,2048,0.000076568
mpi_np,arange,2048,0.000151302
mpi_np,local_slicing,2048,0.000001007
mpi_np,local_setting,2048,0.000000630
mpi_np,global_setting,2048,0.000009111
mpi_np,local_getting,2048,0.000000583
mpi_np,global_getting,2048,0.000182132
mpi_np,empty,4096,0.000076700
mpi_np,arange,4096,0.000164424
mpi_np,local_slicing,4096,0.000000979
mpi_np,local_setting,4096,0.000000613
mpi_np,global_setting,4096,0.000009053
mpi_np,local_getting,4096,0.000000569
mpi_np,global_getting,4096,0.000182268
mpi_np,empty,8192,0.000080398
mpi_np,arange,8192,0.000185395
mpi_np,local_slicing,8192,0.000000973
mpi_np,local_setting,8192,0.000000610
mpi_np,global_setting,8192,0.000009131
mpi_np,local_getting,8192,0.000000584
mpi_np,global_getting,8192,0.000183303
mpi_np,empty,16384,0.000076762
mpi_np,arange,16384,0.000228103
mpi_np,local_slicing,16384,0.000000987
mpi_np,local_setting,16384,0.000000586
mpi_np,global_setting,16384,0.000009140
mpi_np,local_getting,16384,0.000000566
mpi_np,global_getting,16384,0.000183467
mpi_np,empty,32768,0.000078429
mpi_np,arange,32768,0.000315683
mpi_np,local_slicing,32768,0.000000984
mpi_np,local_setting,32768,0.000000618
mpi_np,global_setting,32768,0.000008999
mpi_np,local_getting,32768,0.000000595
mpi_np,global_getting,32768,0.000182328
mpi_np,empty,65536,0.000079036
mpi_np,arange,65536,0.000503357
mpi_np,local_slicing,65536,0.000000981
mpi_np,local_setting,65536,0.000000592
mpi_np,global_setting,65536,0.000009038
mpi_np,local_getting,65536,0.000000579
mpi_np,global_getting,65536,0.000182326
mpi_np,empty,131072,0.000078096
mpi_np,arange,131072,0.000836654
mpi_np,local_slicing,131072,0.000000992
mpi_np,local_setting,131072,0.000000608
mpi_np,global_setting,131072,0.000009130
mpi_np,local_getting,131072,0.000000585
mpi_np,global_getting,131072,0.000182464
