"Type","Op","Size","Time"
mpi_np,std,67108864,0.813708086
mpi_np,global_slice,67108864,0.337866457
mpi_np,local_iterate,67108864,5.420231435
mpi_np,creation,134217728,15.147279384
mpi_np,add,134217728,0.575832509
mpi_np,sub,134217728,0.584884064
mpi_np,mul,134217728,0.576711564
mpi_np,div,134217728,0.773359743
mpi_np,max,134217728,0.163809243
mpi_np,mean,134217728,0.231838057
mpi_np,sum,134217728,0.231174993
mpi_np,std,134217728,1.628672256
mpi_np,global_slice,134217728,0.677514105
mpi_np,local_iterate,134217728,10.800621302
np,creation,1,0.000003171
np,add,1,0.000001480
np,sub,1,0.000001467
np,mul,1,0.000001519
np,div,1,0.000002217
np,max,1,0.000003519
np,mean,1,0.000015621
np,sum,1,0.000004384
np,std,1,0.000046368
np,slice,1,0.000000413
np,iterate,1,0.000001699
np,reshape,1,0.000000644
np,creation,2,0.000003103
np,add,2,0.000001483
np,sub,2,0.000001480
np,mul,2,0.000001586
np,div,2,0.000002245
np,max,2,0.000004942
np,mean,2,0.000015475
np,sum,2,0.000004450
np,std,2,0.000045904
np,slice,2,0.000000398
np,iterate,2,0.000001780
np,reshape,2,0.000000668
np,creation,4,0.000003246
np,add,4,0.000001519
np,sub,4,0.000001462
np,mul,4,0.000001569
np,div,4,0.000002263
np,max,4,0.000005065
np,mean,4,0.000015599
np,sum,4,0.000004473
np,std,4,0.000045924
np,slice,4,0.000000417
np,iterate,4,0.000001946
np,reshape,4,0.000000663
np,creation,8,0.000003431
np,add,8,0.000001484
np,sub,8,0.000001472
np,mul,8,0.000001578
np,div,8,0.000002275
np,max,8,0.000005224
np,mean,8,0.000015792
np,sum,8,0.000004609
np,std,8,0.000046080
np,slice,8,0.000000393
np,iterate,8,0.000002283
np,reshape,8,0.000000658
np,creation,16,0.000004054
np,add,16,0.000001556
np,sub,16,0.000001490
np,mul,16,0.000001587
np,div,16,0.000002306
np,max,16,0.000005189
np,mean,16,0.000015689
np,sum,16,0.000004529
np,std,16,0.000045958
np,slice,16,0.000000395
np,iterate,16,0.000002888
np,reshape,16,0.000000677
np,creation,32,0.000004971
np,add,32,0.000001663
np,sub,32,0.000001465
np,mul,32,0.000001572
np,div,32,0.000002391
np,max,32,0.000005489
np,mean,32,0.000015993
np,sum,32,0.000004476
np,std,32,0.000046535
np,slice,32,0.000000411
np,iterate,32,0.000004325
np,reshape,32,0.000000651
np,creation,64,0.000015260
np,add,64,0.000019410
np,sub,64,0.000006283
np,mul,64,0.000006086
np,div,64,0.000008557
np,max,64,0.000041380
np,mean,64,0.000043052
np,sum,64,0.000009553
np,std,64,0.000075270
np,slice,64,0.000006198
np,iterate,64,0.000019727
np,reshape,64,0.000004782
np,creation,128,0.000017631
np,add,128,0.000019450
np,sub,128,0.000006689
np,mul,128,0.000006398
np,div,128,0.000008985
np,max,128,0.000038125
np,mean,128,0.000041019
np,sum,128,0.000009408
np,std,128,0.000078613
np,slice,128,0.000006347
np,iterate,128,0.000024686
np,reshape,128,0.000004665
np,creation,256,0.000023171
np,add,256,0.000017859
np,sub,256,0.000007250
np,mul,256,0.000006922
np,div,256,0.000010190
np,max,256,0.000037214
np,mean,256,0.000040587
np,sum,256,0.000009763
np,std,256,0.000077970
np,slice,256,0.000005677
np,iterate,256,0.000035322
np,reshape,256,0.000004927
np,creation,512,0.000035087
np,add,512,0.000019217
np,sub,512,0.000007581
np,mul,512,0.000007350
np,div,512,0.000011346
np,max,512,0.000036926
np,mean,512,0.000042347
np,sum,512,0.000010424
np,std,512,0.000081097
np,slice,512,0.000005496
np,iterate,512,0.000055557
np,reshape,512,0.000005170
np,creation,1024,0.000058629
np,add,1024,0.000019860
np,sub,1024,0.000008058
np,mul,1024,0.000007801
np,div,1024,0.000013249
np,max,1024,0.000040117
np,mean,1024,0.000043682
np,sum,1024,0.000010779
np,std,1024,0.000082894
np,slice,1024,0.000006005
np,iterate,1024,0.000107140
np,reshape,1024,0.000005301
np,creation,2048,0.000106556
np,add,2048,0.000022541
np,sub,2048,0.000008903
np,mul,2048,0.000008684
np,div,2048,0.000017283
np,max,2048,0.000044884
np,mean,2048,0.000044963
np,sum,2048,0.000011366
np,std,2048,0.000088923
np,slice,2048,0.000006060
np,iterate,2048,0.000181621
np,reshape,2048,0.000005086
np,creation,4096,0.000203589
np,add,4096,0.000037123
np,sub,4096,0.000012530
np,mul,4096,0.000011794
np,div,4096,0.000025588
np,max,4096,0.000049459
np,mean,4096,0.000047707
np,sum,4096,0.000013359
np,std,4096,0.000100201
np,slice,4096,0.000006318
np,iterate,4096,0.000350938
np,reshape,4096,0.000005510
np,creation,8192,0.000396305
np,add,8192,0.000034650
np,sub,8192,0.000016293
np,mul,8192,0.000016556
np,div,8192,0.000041849
np,max,8192,0.000061118
np,mean,8192,0.000055223
np,sum,8192,0.000017199
np,std,8192,0.000123462
np,slice,8192,0.000006938
np,iterate,8192,0.000688526
np,reshape,8192,0.000005851
np,creation,16384,0.000815501
np,add,16384,0.000056665
np,sub,16384,0.000033219
np,mul,16384,0.000031796
np,div,16384,0.000075360
np,max,16384,0.000077866
np,mean,16384,0.000065722
np,sum,16384,0.000023363
np,std,16384,0.000174725
np,slice,16384,0.000007640
np,iterate,16384,0.001369854
np,reshape,16384,0.000006710
np,creation,32768,0.001642082
np,add,32768,0.000103110
np,sub,32768,0.000070838
np,mul,32768,0.000066983
np,div,32768,0.000142551
np,max,32768,0.000112208
np,mean,32768,0.000091989
np,sum,32768,0.000037556
np,std,32768,0.000282650
np,slice,32768,0.000010268
np,iterate,32768,0.002638122
np,reshape,32768,0.000007890
np,creation,65536,0.003782316
np,add,65536,0.000202654
np,sub,65536,0.000168696
np,mul,65536,0.000162890
np,div,65536,0.000273104
np,max,65536,0.000162256
np,mean,65536,0.000150124
np,sum,65536,0.000085561
np,std,65536,0.000612153
np,slice,65536,0.000011331
np,iterate,65536,0.005271417
np,reshape,65536,0.000008825
np,creation,131072,0.007669214
np,add,131072,0.000872387
np,sub,131072,0.000333154
np,mul,131072,0.000369696
np,div,131072,0.000537518
np,max,131072,0.000251846
np,mean,131072,0.000264916
np,sum,131072,0.000179677
np,std,131072,0.001040586
np,slice,131072,0.000011002
np,iterate,131072,0.010653977
np,reshape,131072,0.000010325
np,creation,262144,0.016874611
np,add,262144,0.001902105
np,sub,262144,0.000773399
np,mul,262144,0.000642959
np,div,262144,0.001060739
np,max,262144,0.000447470
np,mean,262144,0.000430229
np,sum,262144,0.000345787
np,std,262144,0.002164418
np,slice,262144,0.000013418
np,iterate,262144,0.021249746
np,reshape,262144,0.000010840
np,creation,524288,0.032917242
np,add,524288,0.003482945
np,sub,524288,0.002597065
np,mul,524288,0.002311527
np,div,524288,0.002528831
np,max,524288,0.000869377
np,mean,524288,0.000865708
np,sum,524288,0.000702151
np,std,524288,0.004602015
np,slice,524288,0.000016485
np,iterate,524288,0.042668332
np,reshape,524288,0.000013982
np,creation,1048576,0.068634023
np,add,1048576,0.006231363
np,sub,1048576,0.004986493
np,mul,1048576,0.004683350
np,div,1048576,0.004995921
np,max,1048576,0.001504942
np,mean,1048576,0.001896967
np,sum,1048576,0.001778563
np,std,1048576,0.010908987
np,slice,1048576,0.000016797
